
. Module name, LUTS, REGISTERS, LATCHES, ADDSUB, MUXES, DEDICATED RAMS, DISTRIBUTED RAMS, MULTS, BUFS
.	.	.	. APM_11mult11, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_mult_v1_1_Z6_layer0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. fifo_22i_22o, 10, 34, 0, 0, 0, 2, 0, 0, 0
.	.	.	. ipml_fifo_v1_4_fifo_22i_22o_Z5_layer0, 10, 34, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. ipml_fifo_ctrl_v1_3_10s_10s_SYN_1010s_4s, 10, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_sdpram_v1_4_fifo_22i_22o_Z4_layer0, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	. fifo_26i_26o, 11, 31, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ipml_fifo_v1_4_fifo_26i_26o_Z8_layer0, 11, 31, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. ipml_fifo_ctrl_v1_3_9s_9s_SYN_510s_4s, 11, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_sdpram_v1_4_fifo_26i_26o_Z7_layer0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	. pixel_to_block, 107, 284, 0, 0, 0, 8, 0, 0, 0
.	.	. work_linebuffer_wapper_rtl_4_1280_16_1_no_of_linessamples_per_linedata_width, 97, 264, 0, 0, 0, 8, 0, 0, 0
.	.	.	. linebuffer_16_1280_4_false, 97, 264, 0, 0, 0, 8, 0, 0, 0
.	.	.	.	. dp_bram_16_1280, 23, 55, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. dp_bram_16_1280_3, 16, 32, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. dp_bram_16_1280_4, 23, 44, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. dp_bram_16_1280_5, 16, 32, 0, 0, 0, 2, 0, 0, 0
.	. usart_tx_rx_Z1_layer0, 72, 82, 0, 0, 1, 0, 8, 0, 0
.	.	. afifo_8in8out_2, 44, 43, 0, 0, 0, 0, 8, 0, 0
.	.	.	. ipm_distributed_fifo_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_ASYNC_FIFO_12s_4s_2, 44, 43, 0, 0, 0, 0, 8, 0, 0
.	.	.	.	. ipm_distributed_fifo_ctr_v1_0_4s_ASYNC_FIFO_12s_4s_2, 28, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipm_distributed_sdpram_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_NONE_BIN_2, 16, 9, 0, 0, 0, 0, 8, 0, 0
.	. usart_tx_rx_Z1_layer0_0, 81, 69, 0, 0, 0, 0, 8, 0, 0
.	.	. afifo_8in8out_3, 43, 43, 0, 0, 0, 0, 8, 0, 0
.	.	.	. ipm_distributed_fifo_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_ASYNC_FIFO_12s_4s_3, 43, 43, 0, 0, 0, 0, 8, 0, 0
.	.	.	.	. ipm_distributed_fifo_ctr_v1_0_4s_ASYNC_FIFO_12s_4s_3, 28, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipm_distributed_sdpram_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_NONE_BIN_3, 15, 9, 0, 0, 0, 0, 8, 0, 0
.	. video_pll, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. video_timing_data, 42, 54, 0, 0, 0, 0, 0, 0, 0
.	.	. color_bar, 25, 31, 0, 0, 0, 0, 0, 0, 0
